0000014488|2202
0000010709|2183
56-1579850|2177
0000795968|2173
20-8006279|2161
20-8279218|2156
0000023049|2155
22-3470404|2139
20-4224234|2134
0000066834|2127
43-0889809|2122
20-2752826|2121
0000023627|2118
95-3821253|2116
52-2323186|2109
0000107244|2108
0000023287|2102
72-1545376|2094
0000000624|2087
0000066448|2078
0000024354|2076
20-2053401|2074
0000131650|2074
0000033440|2070
75-2945170|2070
0000024077|2070
35-2486440|2067
0000005633|2063
58-2200634|2063
0000509811|2062
90-0186134|2059
0000002311|2056
20-2718340|2048
2148900000|2048
0000066836|2046
0000003656|2042
81-5294275|2035
22-3626426|2029
27-0267182|2029
0202693054|2028
0931296762|2026
14-1841762|2015
75-1744262|2012
0000354310|2007
0000713964|2000
0000008879|1992
0000034607|1986
75-2511480|1985
84-1412422|1985
0000019263|1981
11-3290207|1979
0000032974|1975
0000008116|1972
0000018408|1971
22-3603829|1962
0000001354|1959
0000066731|1959
20-1091645|1953
13-4225190|1951
04-3212636|1950
26-1193089|1950
61-1355156|1949
7416700009|1948
0000005903|1920
0000003076|1912
54-1862878|1907
75-1794257|1905
2172609997|1903
0000033005|1902
26-1589507|1900
0000706432|1893
56-2471041|1890
0000064131|1888
0000022444|1856
0003395293|1854
68-0570826|1843
0000019850|1836
0000023880|1835
80-0743699|1834
0000009712|1834
45-5349650|1831
0000001467|1826
7705300001|1823
46-3986756|1816
52-2354562|1807
0000068598|1806
47-0933090|1797
0000068579|1796
0000068433|1794
41-1592297|1789
0000023621|1780
44-0607186|1765
95-4539084|1764
55-0873456|1763
75-2930700|1763
87-0682600|1760
41-1925607|1753
46-0972768|1751
0000068665|1740
20-8763489|1739
0000614313|1736
95-4762204|1734
0000066865|1727
0000024497|1726
0000006288|1723
58-2307082|1722
0000058181|1717
0000068600|1716
7674000006|1716
26-0402100|1710
0000018203|1701
0000061844|1697
0000017323|1696
0000707101|1695
22-2812732|1695
0000026647|1694
0000005033|1678
0000011734|1678
0000068259|1674
0000017429|1672
34-1633105|1670
0000169653|1670
0002652092|1661
0000058937|1651
0000014206|1635
0000062172|1633
20-4255880|1633
0000706081|1632
16-1222429|1620
1164400002|1619
0000060705|1613
26-2429669|1611
0003374412|1611
0000060042|1607
0000066584|1604
33-0231744|1600
0000061004|1600
0000090270|1597
06-1522806|1593
0000022946|1591
0000485559|1586
0000016980|1581
0002788496|1580
51-0488301|1579
0000365325|1575
46-5671661|1571
0000009260|1571
20-2408098|1568
0000702825|1566
65-1059543|1563
0000718037|1549
0000035214|1548
0000005797|1548
27-1365466|1545
0000023957|1543
0000813947|1539
7229000002|1538
0000060337|1533
0000024107|1532
16-1237621|1530
95-4523866|1524
26-4193875|1523
51-0370645|1523
06-1341084|1522
0000011124|1518
26-2597540|1513
0000060793|1510
0000024693|1503
0000003121|1500
0000063069|1499
0002895152|1497
0000068417|1496
47-5133238|1490
20-1193192|1490
01-0831459|1489
